"tsID","n.steps","age.range","tot.mean","total_N","slope","slope.se","slope.p","adj.r.sq","df","sig","slope.min","slope.max","overlap.slope"
367,18,0.93,3.62139166213359,1022,-0.01252077,0.06701935,0.8541476,-0.0601872727153865,16,FALSE,-0.07954012,0.05449858,FALSE
369,18,0.93,6.29958816972222,1022,-0.04356091,0.04825333,0.3800466,-0.0110041551839668,16,FALSE,-0.09181424,0.00469242,FALSE
381,50,0.159,1.00422439209139,3000,-0.09515136,0.0746863,0.2087928,0.0125568648505898,48,FALSE,-0.16983766,-0.02046506,FALSE
385,50,0.159,1.23144859473477,3000,0.1660034,0.1028376,0.1130332,0.0317303381360442,48,FALSE,0.0631658,0.268841,FALSE
386,50,0.159,0.293714049585354,3000,0.01716818,0.04200284,0.6845496,-0.0172925805745092,48,FALSE,-0.02483466,0.05917102,FALSE
389,50,0.159,1.74861113149002,3000,0.06551602,0.06930969,0.3492579,-0.0021776784144949,48,FALSE,-0.00379367,0.13482571,FALSE
405,6,0.0174,0.310990008076684,318,-0.04819644,0.07844453,0.5721768,-0.142207272631427,4,FALSE,-0.12664097,0.03024809,FALSE
412,7,0.00105,2.89564522083016,752,-0.1544132,0.0470701,0.02194256,0.61932890852159,5,FALSE,-0.2014833,-0.1073431,FALSE
413,7,0.00105,3.37499228610793,752,-0.06249362,0.05795386,0.3301357,0.0264172940406658,5,FALSE,-0.12044748,-0.00453976,FALSE
416,38,3.7e-05,2.6288719246262,5260,-0.05320224,0.007252748,1.19769e-08,0.588014386350004,36,TRUE,-0.060454988,-0.045949492,FALSE
417,38,3.7e-05,2.20963811308846,5250,-0.02081003,0.02178126,0.3457424,-0.0023620987257309,36,FALSE,-0.04259129,0.00097123,FALSE
418,39,3.8e-05,2.37697608243898,12123,-0.0173678,0.0109693,0.1218624,0.0381419362403266,37,FALSE,-0.0283371,-0.0063985,FALSE
419,38,3.7e-05,2.21745233185035,12120,-0.01525631,0.005292359,0.006611598,0.164973884432615,36,FALSE,-0.020548669,-0.009963951,FALSE
420,24,2.4e-05,3.14848751851014,2487,0.01500534,0.007568258,0.060029,0.113029704231369,22,FALSE,0.007437082,0.022573598,FALSE
421,24,2.4e-05,2.60789187556017,2489,-0.01577251,0.01888321,0.4125471,-0.0133198535468395,22,FALSE,-0.03465572,0.0031107,FALSE
427,45,1.83,0.92749709902929,9472,-0.4010553,0.09588203,0.0001391036,0.272676911358322,43,TRUE,-0.49693733,-0.30517327,FALSE
428,45,1.83,0.143351271935876,9472,-0.005795532,0.05567559,0.9175782,-0.0229980255613602,43,FALSE,-0.061471122,0.049880058,FALSE
431,11,5.94,-0.007905901081359,780,0.1073247,0.01846316,0.0002553135,0.766300234293152,9,TRUE,0.08886154,0.12578786,FALSE
452,12,2.6,6.01979287933257,726,-0.2656262,0.1177061,0.0476355,0.271168436465684,10,FALSE,-0.3833323,-0.1479201,FALSE
454,8,0.003007,0.271161689,912,-0.4794509,1.432125,0.7491825,-0.145273035112249,6,FALSE,-1.9115759,0.9526741,TRUE
